,Input,Output
"
1263,How much precipitation does the desert area of Western Alaska receive?,"	less than 10 in (25 cm) of precipitation annually
"
1264,When did Operation Overlord take place?,"	June 1944
"
1265,Who wrote Max Clifford: Read All About It?,"	Clifford and Angela Levin
"
1266,What year was Myanmar the host for the ASEAN conference?,"	hosted the summit in 2014
"
1267,Is Myanmar convenient to other countries in South East Asia ? ,"	No bus or train service connects Myanmar with another country, nor can you travel by car or motorcycle across the border – you must walk across
"
1268,The matrix and the solvent are other names for what?,"	The primary metal
"
1269,When did Kerry say he intended to support the Iraq War?,"	October 9, 2002
"
1270,"By 2000-01, what percentage of players in the Premier League were from outside the UK and Ireland?","	36
"
1271, What measurable value obeys a similar rule of angular momentum?,"	time vs. energy
"
1272,The steppe is important agriculturally because of what feature?,"	canals
"
1273,What was the geothermal capacity in 2008?,"	10 GW
"
1274,Where did the Sumerians usually locate their granaries and storehouses?,"	near the temples
"
1275,Who attacked Valencia with French soldiers but failed to capture it?,"	Moncey
"
1276,What was Gerald Ford's role as minority leader under Johnson administration?,"	propose Republican alternatives
"
1277,When did the USB Promoters Group announce the finalization of the USB Power Delivery specification?,"	In July 2012
"
1278,How does Alaska finance its state government operations?,"	petroleum revenues and federal subsidies
"
1279,"What do the novels The Mystery of a Hansom Cab, Monkey Grip, and The Slap have in common?","	set in Melbourne
"
1280,What were the Spanish wars directly linked to?,"	Napoleonic French invasion of Spain.
"
1281,What year did rebecca host the match? ,"	for the 2010–11 to 2012–13 season
"
1282,What kind of environment is the Pacific Northwest?,"	rich environments
"
1283,How did Popper feel about Marxism after only a short time associating with other Marxists?,"	disillusioned
"
1284,Which group was created to generate a genome map of human genetic material?,"	The Human Genome Project
"
1285,"In the late 19th century, which German philosopher helped develop the idea of communism?","	Engels
"
1286,Which religion will have the most followers by the year 2050 if trends continue?,"	Christianity
"
1287,Were von Neumann's conclusions of collapse of entire universe cause accepted widely?,"	Von Neumann–Wigner interpretation never gained acceptance amongst the majority of physicists
"
1288,How many African Americans identify as multiracial on the Census of 2002?,"	over 75%
"
1289,What was being built that resulted in the discovery of the African Burial Ground?,"	courthouse
"
1290,In what century was the Corpus Juris Civilis rediscovered?,"	11th
"
1291,At what time did Paul VI die?,"	21:41
"
1292,What did the king of Lagash's army mostly consist of?,"	infantry
"
1293,What has stated that every pianist in the recording era has used Chopin's music?,"	The British Library
"
1294,What country did kids play football in public schools in the 19th century?,"	England
"
1295,Which American actress was questioned at the Hong Kong airport?,"	Mia Farrow
"
1296,Whose Carnival is known local as Cwarmê?,"	Malmedy
"
1297,What type of drugs did many young children not have access to in 2008?,"	antimalarial
"
1298,What is Silver Samurai's weapon?,"	an energy charged katana
"
1299,What is the per capita GDP of Swaziland?,"	$9,714
"
1300,How were most elevators built before 1939 powered? ,"	by elevator operators using a rheostat connected to the motor
"
1301,Dromaeosaurids and troodontids are members of what group?,"	deinonychosaurs
"
1302,The more pressure applied to the handle caused what?,"	the faster the elevator would move
"
1303,Growing plants in zinc deficient soil makes them more susceptible to what?,"	disease.
"
1304,Who tends to initially diagnose an infection?,"	primary care physicians or internal medicine specialists
"
1305,Who was the pastor of the first Baptist church?,"	John Smyth
"
1306,How many water-powered cotton mills used child labour in 1788 England and Scotland?,"	143
"
1307,How was migration developed?,"	independently
"
1308,In what year did Sharif become CM?,"	2009
"
1309,How many students attend catholic schools?,"	75,000
"
1310,When did Britain pass the Regulating Act?,"	1773
"
1311,What does boiling sweet wort destroy?,"	enzymes
"
1312,Who claimed the Kyburg lands after their fall in 1264 AD?,"	the Habsburgs
"
1313,"Who wrote Anarchy, State, and Utopia?","	Robert Nozick
"
1314,What were compact hydrogen bombs useful for?,"	Intercontinental ballistic missile delivery
"
1315,What can force individuals to identify with a label that may not reflect true orientation?,"	Language
"
1316,What was reportly the largest ship in the Mughal Convoy in the Indian Fleet?,"	Ganj-i-Sawai
"
1317,What would the end of umchwasho be marked with?,"	dancing and feasting
"
1318,Who founded the record label Rough Trade?,"	Geoff Travis
"
1319,What students developed the first blue-violet LED?,"	Herb Maruska and Wally Rhines
"
1320,Which Duchamp presentation was displayed in the 1912 Salon des Independants?,"	Nude Descending a Staircase, No. 2
"
1321,Quantum theories became which subject in 1925?,"	quantum mechanics
"
1322,What war did the Second Sino-Japanese War lead into?,"	World War II
"
1323,What was the name of Kanye's fifth album?,"	My Beautiful Dark Twisted Fantasy
"
1324,Which property was vitamin B found to have?,"	water-soluble
"
1325,How much of Nigeria has HIV as of 2012?,"	3.1 percent
"
1326,In what century was the phalanx formation finally discarded by the Roman people?,"	4th century BC
"
1327,When did the Karabakh War end?,"	1994
"
1328,What was the name of the famous school during the high middle ages?,"	Chartres Cathedral School
"
1329,Where can the Nepal Art Council Gallery be found?,"	Babar Mahal
"
1330,"Beyonce mostly releases English songs, but what other language did she release songs?","	Spanish
"
1331,How many educators work at the KU School of Business?,"	more than 80
"
1332,How do prokaryotes store their genomes?,"	on a single large, circular chromosome
"
1333,What pub is featured on Emmerdale?,"	the Woolpack
"
1334,What is the German translation for German-Austria?,"	Deutschösterreich
"
1335,What is one area the Dominican Order puts emphasis on?,"	learning
"
1336,Where was Madonna raised?,"	Detroit suburbs of Pontiac and Avon Township
"
1337,With whom did Universal sign a marketing and distribution deal in July 2013?,"	Legendary Pictures
"
1338,What is a major implication of the Erie doctrine?,"	federal courts cannot dictate the content of state law when there is no federal issue
"
1339,In whose works were the great whites appearing?,"	James Henry Breasted
"
1340,When did Japan launch the aattack on Pearl Harbor?,"	7 December
"
1341,What part of Catalonia did Spain give to France?,"	northern part
"
1342,What record amount of TEUs did Piraeus handle in 2013?,"	3.16 million
"
1343,What year was the Rainbow Times founded?,"	2006
"
1344,What substance is absorbed by wine when grapes are fermented with their skins?,"	resveratrol
"
1345,What type of spying did Nasser want to concentrate on?,"	external
"
1346,When was the first useful observation of Neptune from the ground?,"	1997
"
1347,What method did Chomsky use to develop generative linguistics?,"	a mathematical model of language
"
1348,When was full coverage of the BBC's standard programming launched in online stream format?,"	November 2008
"
1349,How many miles of roads are paved on Cyprus?,"	6,249 km (3,883 mi)
"
1350,What language often appeared in Russian novels without translation?,"	French
"
1351,What does the bacteria give the worm?,"	nutrition
"
1352,How were taxes charged during the Tukugawa period?,"	set at fixed amounts
"
1353,What were cancers such as liver cancer or stomach cancer found to have a link to?,"	consumption of carcinogenic preserved foods
"
1354,Who was the first person to sequence a viral genome?,"	Walter Fiers
"
1355,What years are termed the Renaissance period?,"	1400–1600
"
1356,What had the Aztec civilization constructed?,"	one of the largest cities in the world
"
1357,Who previously owned the property where Tyson Research Center is located?,"	the federal government
"
1358,What are the visible vessels in hardwoods commonly called?,"	pores
"
1359,What dialect is increasing in German speaking regions?,"	Swiss German
"
1360,What was Nigeria's status after independence from the UK?,"	a Commonwealth Realm
"
1361,What type of annelids have limb-like parapodia?,"	polychaetes
"
1362,Nirvana and what term carry the same meaning?,"	Bodhi
"
1363,When did construction of the Fine Arts Palace end?,"	1934
"
1364,What is the ratio of human/bacteria cells in human flora?,"	ten times as many bacterial cells
"
1365,How many foreign trips did Montini make as Cardinal?,"	fifteen
"
1366,Neal Purvis and Robert Wade have worked on how many Bond films?,"	six
"
1367,What is the minority religion?,"	Christian (mostly Roman Catholic)
"
1368,What is the theoretical maximum efficiency of reflective capsule bulbs?,"	270 lm/W
"
1369,What had a negative effect on Chopin's health?,"	the bad weather
"
1370,What role did Schwarzenegger miss out on because of his height?,"	The Incredible Hulk
"
1371,What was one limited to during the winter?,"	the minimum necessary
"
1372,Who appoints the prime minister of Swaziland?,"	The king
"
1373,To what school does yoga share central ideas?,"	Advaita Vedanta
"
1374,Brandenburg was part of what dominating force?,"	Holy Roman Empire
"
1375,When does San Diego receive most of its precipitation?,"	between December and March
"
1376,What was Victoria's unofficial title?,"	the grandmother of Europe
"
1377,All these different methods have what in common?,"	the octave
